Name,Code,Currency
S&P 500 COMPOSITE,S&PCOMP,USD
FTSE 100,FTSE100,GPD
TOPIX,TOKYOSE,YEN
DOW JONES INDUSTRIALS,DJINDUS,USD
NASDAQ 100,NASA100,USD
HANG SENG,HNGKNGI,HKD
NIKKEI 225 STOCK AVERAGE,JAPDOWA,YEN
TAIWAN SE WEIGHTED,TAIWGHT,TW
DAX 30 PERFORMANCE,DAXINDX,EUR
BEL 20,BGBEL20,EUR
IBEX 35,IBEX35I,EUR
MILAN COMIT GLOBAL,MILANBC,EUR
AEX INDEX (AEX),AMSTEOE,EUR
SWISS MARKET,SWISSMI,CHF
ASX ALL ORDINARIES,ASXAORD,AUD
NZX ALL,NZSEALL,NZD
EURO STOXX INDUSTRIALS E,S1ESIDE,EUR
MSCI AC WORLD U$,MSACWF$,USD
BRAZIL BOVESPA ,BRBOVES,C 
MEXICO IPC (BOLSA),MXIPC35,MP
